dart_id,is_many_round,is_long,vote_count,dimension,label
752,False,False,4,argument,1.0
752,False,False,4,source,1.0
752,False,False,4,language,0.5
756,True,True,5,argument,0.0
756,True,True,5,source,0.5
756,True,True,5,language,1.0
769,False,True,2,argument,0.5
769,False,True,2,source,0.5
769,False,True,2,language,0.5
777,True,False,3,argument,0.0
777,True,False,3,source,0.5
777,True,False,3,language,0.5
778,True,True,4,argument,0.0
778,True,True,4,source,0.5
778,True,True,4,language,0.5
796,False,False,5,argument,1.0
796,False,False,5,source,0.5
796,False,False,5,language,1.0
802,False,False,5,argument,0.0
802,False,False,5,source,0.5
802,False,False,5,language,1.0
840,True,True,2,argument,1.0
840,True,True,2,source,0.5
840,True,True,2,language,0.5
866,True,True,1,argument,1.0
866,True,True,1,source,0.5
866,True,True,1,language,0.5
892,True,False,2,argument,0.5
892,True,False,2,source,0.0
892,True,False,2,language,0.5
905,True,False,2,argument,0.0
905,True,False,2,source,0.5
905,True,False,2,language,0.0
931,False,False,4,argument,1.0
931,False,False,4,source,1.0
931,False,False,4,language,0.0
943,True,True,3,argument,0.0
943,True,True,3,source,0.0
943,True,True,3,language,1.0
951,True,True,3,argument,0.0
951,True,True,3,source,0.0
951,True,True,3,language,0.5
956,True,True,4,argument,1.0
956,True,True,4,source,0.5
956,True,True,4,language,1.0
959,False,True,1,argument,0.0
959,False,True,1,source,0.5
959,False,True,1,language,0.5
962,True,True,2,argument,1.0
962,True,True,2,source,1.0
962,True,True,2,language,1.0
987,True,True,1,argument,1.0
987,True,True,1,source,0.5
987,True,True,1,language,0.5
994,False,True,1,argument,1.0
994,False,True,1,source,0.5
994,False,True,1,language,0.5
1033,False,True,1,argument,1.0
1033,False,True,1,source,0.5
1033,False,True,1,language,0.5
1043,True,True,2,argument,0.0
1043,True,True,2,source,0.5
1043,True,True,2,language,0.0
1079,False,True,1,argument,0.0
1079,False,True,1,source,0.0
1079,False,True,1,language,0.5
1080,False,True,1,argument,0.0
1080,False,True,1,source,0.0
1080,False,True,1,language,0.0
3638,True,True,1,argument,1.0
3638,True,True,1,source,1.0
3638,True,True,1,language,0.5
3645,False,False,2,argument,1.0
3645,False,False,2,source,1.0
3645,False,False,2,language,0.5
3687,False,False,1,argument,1.0
3687,False,False,1,source,1.0
3687,False,False,1,language,0.5
3696,False,True,1,argument,1.0
3696,False,True,1,source,1.0
3696,False,True,1,language,0.5
3817,False,True,7,argument,1.0
3817,False,True,7,source,1.0
3817,False,True,7,language,1.0
3842,False,False,1,argument,0.5
3842,False,False,1,source,0.5
3842,False,False,1,language,0.5
3867,False,True,2,argument,0.0
3867,False,True,2,source,0.5
3867,False,True,2,language,0.5
3919,False,True,1,argument,1.0
3919,False,True,1,source,0.5
3919,False,True,1,language,1.0
3935,False,False,2,argument,1.0
3935,False,False,2,source,1.0
3935,False,False,2,language,0.5
3943,False,True,2,argument,1.0
3943,False,True,2,source,0.5
3943,False,True,2,language,0.5
3965,False,False,2,argument,0.0
3965,False,False,2,source,0.5
3965,False,False,2,language,0.5
3986,False,False,1,argument,0.0
3986,False,False,1,source,1.0
3986,False,False,1,language,0.5
4005,False,False,1,argument,1.0
4005,False,False,1,source,1.0
4005,False,False,1,language,1.0
4024,False,False,1,argument,0.0
4024,False,False,1,source,0.5
4024,False,False,1,language,0.5
4038,True,False,1,argument,1.0
4038,True,False,1,source,0.5
4038,True,False,1,language,0.5
4066,True,False,2,argument,1.0
4066,True,False,2,source,0.5
4066,True,False,2,language,0.5
4085,False,True,1,argument,0.0
4085,False,True,1,source,0.5
4085,False,True,1,language,0.5
4123,False,False,3,argument,1.0
4123,False,False,3,source,0.5
4123,False,False,3,language,1.0
4286,True,True,2,argument,1.0
4286,True,True,2,source,0.5
4286,True,True,2,language,0.0
4287,True,True,1,argument,1.0
4287,True,True,1,source,0.5
4287,True,True,1,language,0.5
4367,True,True,2,argument,1.0
4367,True,True,2,source,0.5
4367,True,True,2,language,1.0
4374,False,True,1,argument,0.0
4374,False,True,1,source,0.5
4374,False,True,1,language,0.5
4389,True,False,1,argument,1.0
4389,True,False,1,source,0.5
4389,True,False,1,language,0.5
4395,False,False,4,argument,0.0
4395,False,False,4,source,0.5
4395,False,False,4,language,0.5
4398,False,True,1,argument,0.0
4398,False,True,1,source,0.5
4398,False,True,1,language,0.5
4423,False,True,3,argument,1.0
4423,False,True,3,source,0.5
4423,False,True,3,language,1.0
4509,True,True,1,argument,1.0
4509,True,True,1,source,0.5
4509,True,True,1,language,0.5
4562,False,False,2,argument,0.0
4562,False,False,2,source,0.5
4562,False,False,2,language,0.5
4567,False,True,1,argument,1.0
4567,False,True,1,source,0.5
4567,False,True,1,language,1.0
4573,False,False,2,argument,0.0
4573,False,False,2,source,0.5
4573,False,False,2,language,0.5
4617,False,False,1,argument,0.0
4617,False,False,1,source,0.0
4617,False,False,1,language,0.0
4620,False,False,1,argument,1.0
4620,False,False,1,source,0.5
4620,False,False,1,language,0.5
4638,False,True,1,argument,1.0
4638,False,True,1,source,1.0
4638,False,True,1,language,1.0
4640,False,False,1,argument,0.5
4640,False,False,1,source,0.5
4640,False,False,1,language,0.5
4642,False,False,1,argument,1.0
4642,False,False,1,source,0.5
4642,False,False,1,language,0.5
4643,False,False,1,argument,1.0
4643,False,False,1,source,0.5
4643,False,False,1,language,0.5
4646,False,False,2,argument,0.5
4646,False,False,2,source,0.0
4646,False,False,2,language,0.5
4653,False,False,3,argument,1.0
4653,False,False,3,source,0.5
4653,False,False,3,language,1.0
4668,True,True,2,argument,0.5
4668,True,True,2,source,0.5
4668,True,True,2,language,0.5
4671,False,False,1,argument,0.0
4671,False,False,1,source,0.5
4671,False,False,1,language,0.5
4674,False,True,2,argument,0.5
4674,False,True,2,source,1.0
4674,False,True,2,language,0.0
4691,False,False,2,argument,1.0
4691,False,False,2,source,0.5
4691,False,False,2,language,0.5
4696,True,False,1,argument,0.0
4696,True,False,1,source,0.0
4696,True,False,1,language,0.0
4722,False,True,1,argument,1.0
4722,False,True,1,source,1.0
4722,False,True,1,language,0.5
4723,False,True,1,argument,1.0
4723,False,True,1,source,0.5
4723,False,True,1,language,0.5
4734,False,False,1,argument,0.0
4734,False,False,1,source,0.5
4734,False,False,1,language,0.5
4735,False,False,5,argument,1.0
4735,False,False,5,source,0.0
4735,False,False,5,language,0.5
4736,False,False,1,argument,0.5
4736,False,False,1,source,0.5
4736,False,False,1,language,0.5
4739,False,False,2,argument,1.0
4739,False,False,2,source,0.5
4739,False,False,2,language,0.5
4835,False,False,1,argument,0.0
4835,False,False,1,source,0.5
4835,False,False,1,language,0.0
